instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Credit Approval,1,0.0,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.7595350742340088,0.0
Credit Approval,1,0.01,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,0.763922929763794,0.0
Credit Approval,1,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,2.2344439029693604,0.0
Credit Approval,2,0.0,2,0.8650306748466258,0.8466257668711656,0.8109756097560976,600.3670489788055,0.9772727272727272
Credit Approval,2,0.01,2,0.8650306748466258,0.8466257668711656,0.8109756097560976,600.2534599304199,0.8830678960603521
Credit Approval,2,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,415.17865085601807,0.0
Credit Approval,3,0.0,2,0.9233128834355828,0.9141104294478528,0.8536585365853658,600.8414072990417,1.0
Credit Approval,3,0.01,2,0.9233128834355828,0.9141104294478528,0.8658536585365854,600.5631198883057,0.8782735637381163
Credit Approval,3,0.1,2,0.8558282208588958,0.8957055214723927,0.8475609756097561,600.621829032898,0.4329268292682927
Credit Approval,1,0.0,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,1.8812148571014404,0.0
Credit Approval,1,0.01,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,2.3583292961120605,0.0
Credit Approval,1,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,0.7059531211853027,0.0
Credit Approval,2,0.0,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,600.3738532066345,0.999998001516116
Credit Approval,2,0.01,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,600.2485237121582,0.9047461066969528
Credit Approval,2,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,598.2576208114624,0.0
Credit Approval,3,0.0,3,0.901840490797546,0.901840490797546,0.9085365853658536,600.705463886261,1.0
Credit Approval,3,0.01,3,0.8834355828220859,0.8650306748466258,0.8475609756097561,600.5726933479309,0.9178587909552376
Credit Approval,3,0.1,3,0.8619631901840491,0.8773006134969326,0.8536585365853658,600.5840010643005,0.4331210191082802
Heart Disease,1,0.0,1,0.5743243243243243,0.4864864864864865,0.5466666666666666,1.598114013671875,0.0
Heart Disease,1,0.01,1,0.5743243243243243,0.4864864864864865,0.5466666666666666,1.7424309253692627,0.0
Heart Disease,1,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,1.0263030529022217,0.0
Heart Disease,2,0.0,1,0.6351351351351351,0.527027027027027,0.6133333333333333,600.4080638885498,1.0
Heart Disease,2,0.01,1,0.6351351351351351,0.5,0.5733333333333334,495.7202203273773,0.0
Heart Disease,2,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,600.2224199771881,0.0714285714285731
Heart Disease,3,0.0,1,0.722972972972973,0.5,0.5333333333333333,600.7662699222565,1.0
Heart Disease,3,0.01,1,0.7162162162162162,0.5,0.5333333333333333,600.4627032279968,0.9320261437908482
Heart Disease,3,0.1,1,0.527027027027027,0.527027027027027,0.5733333333333334,600.4162011146545,0.6742857142857147
Heart Disease,1,0.0,2,0.6081081081081081,0.5,0.4533333333333333,2.031420946121216,0.0
Heart Disease,1,0.01,2,0.6081081081081081,0.5,0.4533333333333333,1.420026779174805,0.0
Heart Disease,1,0.1,2,0.5675675675675675,0.4729729729729729,0.5466666666666666,1.691805362701416,0.0
Heart Disease,2,0.0,2,0.6418918918918919,0.527027027027027,0.5333333333333333,600.5849850177765,0.9433962264150944
Heart Disease,2,0.01,2,0.6418918918918919,0.527027027027027,0.5333333333333333,600.2946691513062,0.8132517756220362
Heart Disease,2,0.1,2,0.5675675675675675,0.4729729729729729,0.5466666666666666,295.4748868942261,0.0
Heart Disease,3,0.0,2,0.7027027027027027,0.4054054054054054,0.5066666666666667,600.7007870674133,1.0
Heart Disease,3,0.01,2,0.7027027027027027,0.4054054054054054,0.5066666666666667,600.3822908401489,0.9127798618855434
Heart Disease,3,0.1,2,0.5675675675675675,0.4729729729729729,0.5466666666666666,600.4602386951447,0.6062500000000024
Heart Disease,1,0.0,3,0.5540540540540541,0.4729729729729729,0.5466666666666666,2.240287065505981,0.0
Heart Disease,1,0.01,3,0.5540540540540541,0.4729729729729729,0.5466666666666666,1.980241060256958,0.0
Heart Disease,1,0.1,3,0.5135135135135135,0.5540540540540541,0.5733333333333334,1.1937060356140137,0.0
